movie_name,evaluate,describe,introduce,serial_number,star
卢旺达饭店,140526人评价,当这个世界闭上双眼，他却敞开了怀抱。,2004/英国南非意大利美国/剧情历史战争,142,8.9
海洋,107050人评价,大海啊，不全是水。,2009/法国瑞士西班牙美国阿联酋/纪录片,143,9.0
超能陆战队,448192人评价,Balalala~~~,2014/美国/喜剧动作科幻动画冒险,144,8.6
心迷宫,220904人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,2014/中国大陆/剧情犯罪悬疑,145,8.7
唐伯虎点秋香,411958人评价,华太师是黄霑，吴镇宇四大才子之一。,1993/香港/喜剧爱情古装,146,8.5
蝙蝠侠：黑暗骑士崛起,343218人评价,诺兰就是保证。,2012/美国英国/剧情动作科幻犯罪惊悚,147,8.6
荒蛮故事,177206人评价,始于荒诞，止于更荒诞。,2014/阿根廷西班牙/剧情喜剧犯罪,148,8.8
傲慢与偏见,356578人评价,爱是摈弃傲慢与偏见之后的曙光。,2005/法国英国美国/剧情爱情,149,8.5
海边的曼彻斯特,242945人评价,我们都有权利不与自己的过去和解。,2016/美国/剧情家庭,150,8.6
纵横四海,180092人评价,香港浪漫主义警匪动作片的巅峰之作。,1991/香港/剧情喜剧动作犯罪,151,8.7
虎口脱险,121352人评价,永远看不腻的喜剧。,1966/法国英国/喜剧战争,152,8.9
教父3,155740人评价,任何信念的力量，都无法改变命运。,1990/美国/剧情犯罪,153,8.8
时空恋旅人,244293人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,2013/英国/剧情爱情奇幻,154,8.6
燃情岁月,164753人评价,传奇，不是每个人都可以拥有。,1994/美国/剧情爱情西部家庭,155,8.7
完美的世界,97584人评价,坏人的好总是比好人的好来得更感人。,1993/美国/剧情犯罪,156,9.0
无人知晓,91569人评价,我的平常生活就是他人的幸福。,2004/日本/剧情,157,9.1
玩具总动员3,223218人评价,跨度十五年的欢乐与泪水。,2010/美国/喜剧动画奇幻冒险,158,8.8
花样年华,285941人评价,偷情本没有这样美。,2000/香港/剧情爱情,159,8.6
恋恋笔记本,329619人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,2004/美国/剧情爱情,160,8.5
达拉斯买家俱乐部,220007人评价,Jared Leto的腿比女人还美！,2013/美国/剧情传记同性,161,8.7
血战钢锯岭,383433人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,2016/美国澳大利亚/剧情传记历史战争,162,8.7
二十二,129866人评价,有一些东西不应该被遗忘。,2015/中国大陆/纪录片,163,8.7
雨中曲,105860人评价,骨灰级歌舞片。,1952/美国/喜剧歌舞爱情,164,9.0
魂断蓝桥,145703人评价,中国式内在的美国电影。,1940/美国/剧情战争爱情,165,8.8
猜火车,276476人评价,不可猜的青春迷笛。 ,1996/英国/犯罪剧情,166,8.5
穿越时空的少女,211318人评价,爱上未来的你。 ,2006/日本/剧情爱情科幻动画,167,8.6
我是山姆,123659人评价,爱并不需要智商 。,2001/美国/剧情家庭,168,8.8
冰川时代,317229人评价,松鼠才是角儿。,2002/美国/喜剧动画冒险,169,8.5
人工智能,219869人评价,对爱的执着，可以超越一切。,2001/美国/冒险剧情科幻,170,8.6
